iter	Passed	Remaining
0	2	276
1	4	204
2	5	173
3	9	237
4	11	221
5	13	218
6	16	223
7	18	214
8	20	209
9	23	209
10	24	199
11	26	196
12	28	189
13	29	183
14	31	178
15	33	174
16	35	172
17	36	167
18	38	162
19	39	158
20	40	153
21	42	149
22	43	144
23	44	139
24	45	135
25	46	131
26	47	127
27	60	155
28	62	152
29	66	154
30	66	149
31	67	144
32	68	139
33	69	135
34	70	131
35	71	127
36	72	123
37	73	119
38	74	116
39	75	113
40	76	109
41	76	105
42	77	102
43	78	99
44	79	96
45	80	94
46	199	224
47	202	219
48	203	211
49	204	204
50	205	197
51	206	190
52	207	184
53	208	177
54	209	171
55	209	164
56	210	159
57	211	153
58	213	148
59	214	142
60	214	137
61	218	134
62	238	139
63	239	134
64	240	129
65	241	124
66	247	121
67	249	117
68	251	112
69	252	108
70	254	104
71	255	99
72	256	94
73	258	90
74	259	86
75	261	82
76	262	78
77	264	74
78	265	70
79	266	66
80	267	62
81	268	58
82	269	55
83	270	51
84	271	47
85	272	44
86	272	40
87	273	37
88	274	33
89	282	31
90	283	28
91	284	24
92	285	21
93	286	18
94	287	15
95	288	12
96	289	8
97	290	5
98	291	2
99	292	0
